X,Y,Elevation,Target
549653,213808,85,0
549653,213808,90,0
549653,213808,95,0
549653,213808,100,0
549653,213808,105,1
549653,213808,110,1
549653,213808,115,2
549653,213808,120,3
549653,213808,125,3
549653,213808,130,4
549653,213808,135,4
549653,213808,140,5
549653,213813,80,0
549653,213813,85,0
549653,213813,90,0
549653,213813,95,0
549653,213813,100,0
549653,213813,105,0
549653,213813,110,1
549653,213813,115,2
549653,213813,120,2
549653,213813,125,3
549653,213813,130,4
549653,213813,135,4
549653,213813,140,5
549653,213818,80,0
549653,213818,85,0
549653,213818,90,0
549653,213818,95,0
549653,213818,100,0
549653,213818,105,0
549653,213818,110,1
549653,213818,115,2
549653,213818,120,2
549653,213818,125,3
549653,213818,130,4
549653,213818,135,4
549653,213818,140,5
549653,213823,80,0
549653,213823,85,0
549653,213823,90,0
549653,213823,95,0
549653,213823,100,0
549653,213823,105,0
549653,213823,110,1
549653,213823,115,2
549653,213823,120,2
549653,213823,125,3
549653,213823,130,4
549653,213823,135,4
549653,213823,140,5
549653,213828,80,0
549653,213828,85,0
549653,213828,90,0
549653,213828,95,0
549653,213828,100,0
549653,213828,105,0
549653,213828,110,1
549653,213828,115,2
549653,213828,120,2
549653,213828,125,3
549653,213828,130,4
549653,213828,135,4
549653,213828,140,5
549658,213758,80,0
549658,213758,85,0
549658,213758,90,0
549658,213758,95,0
549658,213758,100,0
549658,213758,105,1
549658,213758,110,1
549658,213758,115,2
549658,213758,120,2
549658,213758,125,2
549658,213758,130,3
549658,213758,135,3
549658,213758,140,3
549658,213763,80,0
549658,213763,85,0
549658,213763,90,0
549658,213763,95,0
549658,213763,100,0
549658,213763,105,1
549658,213763,110,1
549658,213763,115,2
549658,213763,120,2
549658,213763,125,2
549658,213763,130,3
549658,213763,135,3
549658,213763,140,3
549658,213768,80,0
549658,213768,85,0
549658,213768,90,0
549658,213768,95,0
549658,213768,100,0
549658,213768,105,1
549658,213768,110,2
549658,213768,115,2
549658,213768,120,2
549658,213768,125,3
549658,213768,130,3
549658,213768,135,3
549658,213768,140,4
549658,213773,80,0
549658,213773,85,0
549658,213773,90,0
549658,213773,95,0
549658,213773,100,0
549658,213773,105,1
549658,213773,110,2
549658,213773,115,2
549658,213773,120,3
549658,213773,125,3
549658,213773,130,3
549658,213773,135,4
549658,213773,140,4
549658,213778,80,0
549658,213778,85,0
549658,213778,90,0
549658,213778,95,0
549658,213778,100,0
549658,213778,105,1
549658,213778,110,2
549658,213778,115,2
549658,213778,120,3
549658,213778,125,3
549658,213778,130,3
549658,213778,135,4
549658,213778,140,4
549658,213783,80,0
549658,213783,85,0
549658,213783,90,0
549658,213783,95,0
549658,213783,100,0
549658,213783,105,1
549658,213783,110,1
549658,213783,115,2
549658,213783,120,3
549658,213783,125,3
549658,213783,130,4
549658,213783,135,4
549658,213783,140,4
549658,213788,80,0
549658,213788,85,0
549658,213788,90,0
549658,213788,95,0
549658,213788,100,0
549658,213788,105,1
549658,213788,110,1
549658,213788,115,2
549658,213788,120,3
549658,213788,125,3
549658,213788,130,4
549658,213788,135,4
549658,213788,140,5
549658,213793,80,0
549658,213793,85,0
549658,213793,90,0
549658,213793,95,0
549658,213793,100,0
549658,213793,105,1
549658,213793,110,1
549658,213793,115,2
549658,213793,120,3
549658,213793,125,3
549658,213793,130,4
549658,213793,135,4
549658,213793,140,5
549658,213798,80,0
549658,213798,85,0
549658,213798,90,0
549658,213798,95,0
549658,213798,100,0
549658,213798,105,1
549658,213798,110,1
549658,213798,115,2
549658,213798,120,3
549658,213798,125,3
549658,213798,130,4
549658,213798,135,4
549658,213798,140,5
549658,213803,80,0
549658,213803,85,0
549658,213803,90,0
549658,213803,95,0
549658,213803,100,0
549658,213803,105,1
549658,213803,110,1
549658,213803,115,2
549658,213803,120,3
549658,213803,125,3
549658,213803,130,4
549658,213803,135,5
549658,213803,140,5
549658,213808,80,0
549658,213808,85,0
549658,213808,90,0
549658,213808,95,0
549658,213808,100,0
549658,213808,105,1
549658,213808,110,1
549658,213808,115,2
549658,213808,120,3
549658,213808,125,3
549658,213808,130,4
549658,213808,135,5
549658,213808,140,5
549658,213813,80,0
549658,213813,85,0
549658,213813,90,0
549658,213813,95,0
549658,213813,100,0
549658,213813,105,0
549658,213813,110,1
549658,213813,115,2
549658,213813,120,2
549658,213813,125,3
549658,213813,130,4
549658,213813,135,4
549658,213813,140,5
549658,213818,80,0
549658,213818,85,0
549658,213818,90,0
549658,213818,95,0
549658,213818,100,0
549658,213818,105,0
549658,213818,110,1
549658,213818,115,2
549658,213818,120,2
549658,213818,125,3
549658,213818,130,4
549658,213818,135,4
549658,213818,140,5
549658,213823,80,0
549658,213823,85,0
549658,213823,90,0
549658,213823,95,0
549658,213823,100,0
549658,213823,105,0
549658,213823,110,1
549658,213823,115,2
549658,213823,120,2
549658,213823,125,3
549658,213823,130,4
549658,213823,135,4
549658,213823,140,5
549658,213828,80,0
549658,213828,85,0
549658,213828,90,0
549658,213828,95,0
549658,213828,100,0
549658,213828,105,0
549658,213828,110,1
549658,213828,115,2
549658,213828,120,2
549658,213828,125,3
549658,213828,130,4
549658,213828,135,4
549658,213828,140,5
549663,213758,80,0
549663,213758,85,0
549663,213758,90,0
549663,213758,95,0
549663,213758,100,0
549663,213758,105,1
549663,213758,110,1
549663,213758,115,2
549663,213758,120,2
549663,213758,125,2
549663,213758,130,3
549663,213758,135,3
549663,213758,140,3
549663,213763,80,0
549663,213763,85,0
549663,213763,90,0
549663,213763,95,0
549663,213763,100,0
549663,213763,105,1
549663,213763,110,2
549663,213763,115,2
549663,213763,120,2
549663,213763,125,2
549663,213763,130,3
549663,213763,135,3
549663,213763,140,3
549663,213768,80,0
549663,213768,85,0
549663,213768,90,0
549663,213768,95,0
549663,213768,100,0
549663,213768,105,1
549663,213768,110,2
549663,213768,115,2
549663,213768,120,2
549663,213768,125,3
549663,213768,130,3
549663,213768,135,3
549663,213768,140,4
549663,213773,80,0
549663,213773,85,0
549663,213773,90,0
549663,213773,95,0
549663,213773,100,0
549663,213773,105,1
549663,213773,110,2
549663,213773,115,2
549663,213773,120,3
549663,213773,125,3
549663,213773,130,3
549663,213773,135,4
549663,213773,140,4
549663,213778,80,0
549663,213778,85,0
549663,213778,90,0
549663,213778,95,0
549663,213778,100,0
549663,213778,105,1
549663,213778,110,2
549663,213778,115,2
549663,213778,120,3
549663,213778,125,3
549663,213778,130,3
549663,213778,135,4
549663,213778,140,4
549663,213783,80,0
549663,213783,85,0
549663,213783,90,0
549663,213783,95,0
549663,213783,100,0
549663,213783,105,1
549663,213783,110,1
549663,213783,115,2
549663,213783,120,3
549663,213783,125,3
549663,213783,130,4
549663,213783,135,4
549663,213783,140,4
549663,213788,80,0
549663,213788,85,0
549663,213788,90,0
549663,213788,95,0
549663,213788,100,0
549663,213788,105,1
549663,213788,110,1
549663,213788,115,2
549663,213788,120,3
549663,213788,125,3
549663,213788,130,4
549663,213788,135,4
549663,213788,140,5
549663,213793,80,0
549663,213793,85,0
549663,213793,90,0
549663,213793,95,0
549663,213793,100,0
549663,213793,105,1
549663,213793,110,1
549663,213793,115,2
549663,213793,120,3
549663,213793,125,3
549663,213793,130,4
549663,213793,135,4
549663,213793,140,5
549663,213798,80,0
549663,213798,85,0
549663,213798,90,0
549663,213798,95,0
549663,213798,100,0
549663,213798,105,1
549663,213798,110,1
549663,213798,115,2
549663,213798,120,3
549663,213798,125,3
549663,213798,130,4
549663,213798,135,4
549663,213798,140,5
549663,213803,80,0
549663,213803,85,0
549663,213803,90,0
549663,213803,95,0
549663,213803,100,0
549663,213803,105,1
549663,213803,110,1
549663,213803,115,2
549663,213803,120,3
549663,213803,125,3
549663,213803,130,4
549663,213803,135,5
549663,213803,140,5
549663,213808,80,0
549663,213808,85,0
549663,213808,90,0
549663,213808,95,0
549663,213808,100,0
549663,213808,105,1
549663,213808,110,1
549663,213808,115,2
549663,213808,120,3
549663,213808,125,3
549663,213808,130,4
549663,213808,135,5
549663,213808,140,5
549663,213813,80,0
549663,213813,85,0
549663,213813,90,0
549663,213813,95,0
549663,213813,100,0
549663,213813,105,0
549663,213813,110,1
549663,213813,115,2
549663,213813,120,2
549663,213813,125,3
549663,213813,130,4
549663,213813,135,4
549663,213813,140,5
549663,213818,80,0
549663,213818,85,0
549663,213818,90,0
549663,213818,95,0
549663,213818,100,0
549663,213818,105,0
549663,213818,110,1
549663,213818,115,2
549663,213818,120,2
549663,213818,125,3
549663,213818,130,4
549663,213818,135,4
549663,213818,140,5
549663,213823,80,0
549663,213823,85,0
549663,213823,90,0
549663,213823,95,0
549663,213823,100,0
549663,213823,105,0
549663,213823,110,1
549663,213823,115,2
549663,213823,120,2
549663,213823,125,3
549663,213823,130,4
549663,213823,135,4
549663,213823,140,5
549663,213828,80,0
549663,213828,85,0
549663,213828,90,0
549663,213828,95,0
549663,213828,100,0
549663,213828,105,0
549663,213828,110,1
549663,213828,115,2
549663,213828,120,2
549663,213828,125,3
549663,213828,130,4
549663,213828,135,4
549663,213828,140,5
549668,213758,80,0
549668,213758,85,0
549668,213758,90,0
549668,213758,95,0
549668,213758,100,0
549668,213758,105,1
549668,213758,110,1
549668,213758,115,2
549668,213758,120,2
549668,213758,125,2
549668,213758,130,3
549668,213758,135,3
549668,213758,140,3
549668,213763,80,0
549668,213763,85,0
549668,213763,90,0
549668,213763,95,0
549668,213763,100,0
549668,213763,105,1
549668,213763,110,2
549668,213763,115,2
549668,213763,120,2
549668,213763,125,2
549668,213763,130,3
549668,213763,135,3
549668,213763,140,3
549668,213768,80,0
549668,213768,85,0
549668,213768,90,0
549668,213768,95,0
549668,213768,100,0
549668,213768,105,1
549668,213768,110,2
549668,213768,115,2
549668,213768,120,2
549668,213768,125,3
549668,213768,130,3
549668,213768,135,3
549668,213768,140,4
549668,213773,80,0
549668,213773,85,0
549668,213773,90,0
549668,213773,95,0
549668,213773,100,0
549668,213773,105,1
549668,213773,110,2
549668,213773,115,2
549668,213773,120,3
549668,213773,125,3
549668,213773,130,3
549668,213773,135,4
549668,213773,140,4
549668,213778,80,0
549668,213778,85,0
549668,213778,90,0
549668,213778,95,0
549668,213778,100,0
549668,213778,105,1
549668,213778,110,2
549668,213778,115,2
549668,213778,120,3
549668,213778,125,3
549668,213778,130,3
549668,213778,135,4
549668,213778,140,4
549668,213783,80,0
549668,213783,85,0
549668,213783,90,0
549668,213783,95,0
549668,213783,100,0
549668,213783,105,1
549668,213783,110,2
549668,213783,115,2
549668,213783,120,3
549668,213783,125,3
549668,213783,130,4
549668,213783,135,4
549668,213783,140,4
549668,213788,80,0
549668,213788,85,0
549668,213788,90,0
549668,213788,95,0
549668,213788,100,0
549668,213788,105,1
549668,213788,110,1
549668,213788,115,2
549668,213788,120,3
549668,213788,125,3
549668,213788,130,4
549668,213788,135,4
549668,213788,140,5
549668,213793,80,0
549668,213793,85,0
549668,213793,90,0
549668,213793,95,0
549668,213793,100,0
549668,213793,105,1
549668,213793,110,1
549668,213793,115,2
549668,213793,120,3
549668,213793,125,3
549668,213793,130,4
549668,213793,135,4
549668,213793,140,5
549668,213798,80,0
549668,213798,85,0
549668,213798,90,0
549668,213798,95,0
549668,213798,100,0
549668,213798,105,1
549668,213798,110,1
549668,213798,115,2
549668,213798,120,3
549668,213798,125,3
549668,213798,130,4
549668,213798,135,4
549668,213798,140,5
549668,213803,80,0
549668,213803,85,0
549668,213803,90,0
549668,213803,95,0
549668,213803,100,0
549668,213803,105,1
549668,213803,110,1
549668,213803,115,2
549668,213803,120,3
549668,213803,125,3
549668,213803,130,4
549668,213803,135,5
549668,213803,140,5
549668,213808,80,0
549668,213808,85,0
549668,213808,90,0
549668,213808,95,0
549668,213808,100,0
549668,213808,105,1
549668,213808,110,1
549668,213808,115,2
549668,213808,120,3
549668,213808,125,3
549668,213808,130,4
549668,213808,135,5
549668,213808,140,5
549668,213813,80,0
549668,213813,85,0
549668,213813,90,0
549668,213813,95,0
549668,213813,100,0
549668,213813,105,0
549668,213813,110,1
549668,213813,115,2
549668,213813,120,2
549668,213813,125,3
549668,213813,130,4
549668,213813,135,4
549668,213813,140,5
549668,213818,80,0
549668,213818,85,0
549668,213818,90,0
549668,213818,95,0
549668,213818,100,0
549668,213818,105,0
549668,213818,110,1
549668,213818,115,2
549668,213818,120,2
549668,213818,125,3
549668,213818,130,4
549668,213818,135,4
549668,213818,140,5
549668,213823,80,0
549668,213823,85,0
549668,213823,90,0
549668,213823,95,0
549668,213823,100,0
549668,213823,105,0
549668,213823,110,1
549668,213823,115,2
549668,213823,120,2
549668,213823,125,3
549668,213823,130,4
549668,213823,135,4
549668,213823,140,5
549668,213828,80,0
549668,213828,85,0
549668,213828,90,0
549668,213828,95,0
549668,213828,100,0
549668,213828,105,0
549668,213828,110,1
549668,213828,115,2
549668,213828,120,2
549668,213828,125,3
549668,213828,130,4
549668,213828,135,4
549668,213828,140,5
549673,213758,80,0
549673,213758,85,0
549673,213758,90,0
549673,213758,95,0
549673,213758,100,0
549673,213758,105,1
549673,213758,110,1
549673,213758,115,2
549673,213758,120,2
549673,213758,125,2
549673,213758,130,3
549673,213758,135,3
549673,213758,140,3
549673,213763,80,0
549673,213763,85,0
549673,213763,90,0
549673,213763,95,0
549673,213763,100,0
549673,213763,105,1
549673,213763,110,2
549673,213763,115,2
549673,213763,120,2
549673,213763,125,2
549673,213763,130,3
549673,213763,135,3
549673,213763,140,3
549673,213768,80,0
549673,213768,85,0
549673,213768,90,0
549673,213768,95,0
549673,213768,100,0
549673,213768,105,1
549673,213768,110,2
549673,213768,115,2
549673,213768,120,2
549673,213768,125,3
549673,213768,130,3
549673,213768,135,3
549673,213768,140,4
549673,213773,80,0
549673,213773,85,0
549673,213773,90,0
549673,213773,95,0
549673,213773,100,0
549673,213773,105,1
549673,213773,110,2
549673,213773,115,2
549673,213773,120,3
549673,213773,125,3
549673,213773,130,3
549673,213773,135,4
549673,213773,140,4
549673,213778,80,0
549673,213778,85,0
549673,213778,90,0
549673,213778,95,0
549673,213778,100,0
549673,213778,105,1
549673,213778,110,2
549673,213778,115,2
549673,213778,120,3
549673,213778,125,3
549673,213778,130,3
549673,213778,135,4
549673,213778,140,4
549673,213783,80,0
549673,213783,85,0
549673,213783,90,0
549673,213783,95,0
549673,213783,100,0
549673,213783,105,1
549673,213783,110,2
549673,213783,115,2
549673,213783,120,3
549673,213783,125,3
549673,213783,130,4
549673,213783,135,4
549673,213783,140,4
549673,213788,80,0
549673,213788,85,0
549673,213788,90,0
549673,213788,95,0
549673,213788,100,0
549673,213788,105,1
549673,213788,110,1
549673,213788,115,2
549673,213788,120,3
549673,213788,125,3
549673,213788,130,4
549673,213788,135,4
549673,213788,140,5
549673,213793,80,0
549673,213793,85,0
549673,213793,90,0
549673,213793,95,0
549673,213793,100,0
549673,213793,105,1
549673,213793,110,1
549673,213793,115,2
549673,213793,120,3
549673,213793,125,3
549673,213793,130,4
549673,213793,135,4
549673,213793,140,5
549673,213798,80,0
549673,213798,85,0
549673,213798,90,0
549673,213798,95,0
549673,213798,100,0
549673,213798,105,1
549673,213798,110,1
549673,213798,115,2
549673,213798,120,3
549673,213798,125,3
549673,213798,130,4
549673,213798,135,4
549673,213798,140,5
549673,213803,80,0
549673,213803,85,0
549673,213803,90,0
549673,213803,95,0
549673,213803,100,0
549673,213803,105,1
549673,213803,110,1
549673,213803,115,2
549673,213803,120,3
549673,213803,125,3
549673,213803,130,4
549673,213803,135,5
549673,213803,140,5
549673,213808,80,0
549673,213808,85,0
549673,213808,90,0
549673,213808,95,0
549673,213808,100,0
549673,213808,105,1
549673,213808,110,1
549673,213808,115,2
549673,213808,120,3
549673,213808,125,3
549673,213808,130,4
549673,213808,135,5
549673,213808,140,5
549673,213813,80,0
549673,213813,85,0
549673,213813,90,0
549673,213813,95,0
549673,213813,100,0
549673,213813,105,0
549673,213813,110,1
549673,213813,115,2
549673,213813,120,2
549673,213813,125,3
549673,213813,130,4
549673,213813,135,4
549673,213813,140,5
549673,213818,80,0
549673,213818,85,0
549673,213818,90,0
549673,213818,95,0
549673,213818,100,0
549673,213818,105,0
549673,213818,110,1
549673,213818,115,2
549673,213818,120,2
549673,213818,125,3
549673,213818,130,4
549673,213818,135,4
549673,213818,140,5
549673,213823,80,0
549673,213823,85,0
549673,213823,90,0
549673,213823,95,0
549673,213823,100,0
549673,213823,105,0
549673,213823,110,1
549673,213823,115,2
549673,213823,120,2
549673,213823,125,3
549673,213823,130,4
549673,213823,135,4
549673,213823,140,5
549673,213828,80,0
549673,213828,85,0
549673,213828,90,0
549673,213828,95,0
549673,213828,100,0
549673,213828,105,0
549673,213828,110,1
549673,213828,115,2
549673,213828,120,2
549673,213828,125,3
549673,213828,130,4
549673,213828,135,4
549673,213828,140,5
549678,213758,80,0
549678,213758,85,0
549678,213758,90,0
549678,213758,95,0
549678,213758,100,0
549678,213758,105,1
549678,213758,110,1
549678,213758,115,2
549678,213758,120,2
549678,213758,125,2
549678,213758,130,3
549678,213758,135,3
549678,213758,140,3
549678,213763,80,0
549678,213763,85,0
549678,213763,90,0
549678,213763,95,0
549678,213763,100,0
549678,213763,105,1
549678,213763,110,2
549678,213763,115,2
549678,213763,120,2
549678,213763,125,3
549678,213763,130,3
549678,213763,135,3
549678,213763,140,3
549678,213768,80,0
549678,213768,85,0
549678,213768,90,0
549678,213768,95,0
549678,213768,100,0
549678,213768,105,1
549678,213768,110,2
549678,213768,115,2
549678,213768,120,2
549678,213768,125,3
549678,213768,130,3
549678,213768,135,3
549678,213768,140,4
549678,213773,80,0
549678,213773,85,0
549678,213773,90,0
549678,213773,95,0
549678,213773,100,0
549678,213773,105,1
549678,213773,110,2
549678,213773,115,2
549678,213773,120,3
549678,213773,125,3
549678,213773,130,3
549678,213773,135,4
549678,213773,140,4
549678,213778,80,0
549678,213778,85,0
549678,213778,90,0
549678,213778,95,0
549678,213778,100,0
549678,213778,105,1
549678,213778,110,2
549678,213778,115,2
549678,213778,120,3
549678,213778,125,3
549678,213778,130,4
549678,213778,135,4
549678,213778,140,4
549678,213783,80,0
549678,213783,85,0
549678,213783,90,0
549678,213783,95,0
549678,213783,100,0
549678,213783,105,1
549678,213783,110,2
549678,213783,115,2
549678,213783,120,3
549678,213783,125,3
549678,213783,130,4
549678,213783,135,4
549678,213783,140,4
549678,213788,80,0
549678,213788,85,0
549678,213788,90,0
549678,213788,95,0
549678,213788,100,0
549678,213788,105,1
549678,213788,110,1
549678,213788,115,2
549678,213788,120,3
549678,213788,125,3
549678,213788,130,4
549678,213788,135,4
549678,213788,140,5
549678,213793,80,0
549678,213793,85,0
549678,213793,90,0
549678,213793,95,0
549678,213793,100,0
549678,213793,105,1
549678,213793,110,1
549678,213793,115,2
549678,213793,120,3
549678,213793,125,3
549678,213793,130,4
549678,213793,135,4
549678,213793,140,5
549678,213798,80,0
549678,213798,85,0
549678,213798,90,0
549678,213798,95,0
549678,213798,100,0
549678,213798,105,1
549678,213798,110,1
549678,213798,115,2
549678,213798,120,3
549678,213798,125,3
549678,213798,130,4
549678,213798,135,5
549678,213798,140,5
549678,213803,80,0
549678,213803,85,0
549678,213803,90,0
549678,213803,95,0
549678,213803,100,0
549678,213803,105,1
549678,213803,110,1
549678,213803,115,2
549678,213803,120,3
549678,213803,125,3
549678,213803,130,4
549678,213803,135,5
549678,213803,140,5
549678,213808,80,0
549678,213808,85,0
549678,213808,90,0
549678,213808,95,0
549678,213808,100,0
549678,213808,105,1
549678,213808,110,1
549678,213808,115,2
549678,213808,120,3
549678,213808,125,3
549678,213808,130,4
549678,213808,135,5
549678,213808,140,5
549678,213813,80,0
549678,213813,85,0
549678,213813,90,0
549678,213813,95,0
549678,213813,100,0
549678,213813,105,0
549678,213813,110,1
549678,213813,115,2
549678,213813,120,2
549678,213813,125,3
549678,213813,130,4
549678,213813,135,4
549678,213813,140,5
549678,213818,80,0
549678,213818,85,0
549678,213818,90,0
549678,213818,95,0
549678,213818,100,0
549678,213818,105,0
549678,213818,110,1
549678,213818,115,2
549678,213818,120,2
549678,213818,125,3
549678,213818,130,4
549678,213818,135,4
549678,213818,140,5
549678,213823,80,0
549678,213823,85,0
549678,213823,90,0
549678,213823,95,0
549678,213823,100,0
549678,213823,105,0
549678,213823,110,1
549678,213823,115,2
549678,213823,120,2
549678,213823,125,3
549678,213823,130,4
549678,213823,135,4
549678,213823,140,5
549678,213828,80,0
549678,213828,85,0
549678,213828,90,0
549678,213828,95,0
549678,213828,100,0
549678,213828,105,0
549678,213828,110,1
549678,213828,115,2
549678,213828,120,2
549678,213828,125,3
549678,213828,130,4
549678,213828,135,4
549678,213828,140,5
549683,213758,80,0
549683,213758,85,0
549683,213758,90,0
549683,213758,95,0
549683,213758,100,0
549683,213758,105,1
549683,213758,110,1
549683,213758,115,2
549683,213758,120,2
549683,213758,125,2
549683,213758,130,3
549683,213758,135,3
549683,213758,140,3
549683,213763,80,0
549683,213763,85,0
549683,213763,90,0
549683,213763,95,0
549683,213763,100,0
549683,213763,105,1
549683,213763,110,2
549683,213763,115,2
549683,213763,120,2
549683,213763,125,3
549683,213763,130,3
549683,213763,135,3
549683,213763,140,3
549683,213768,80,0
549683,213768,85,0
549683,213768,90,0
549683,213768,95,0
549683,213768,100,0
549683,213768,105,1
